
========================================================================
                       optimization routine : 2
                     set of starting values : 1
========================================================================
theta2 starting values:
   -2.586421   -0.616377    0.227579   -0.715240   -0.990075
 
 Iteration   Func-count     min f(x)         Procedure
   179          394          253.083         reflect
   180          396          253.083         contract inside
   181          398          253.083         contract inside
   182          405          253.083         shrink
   183          407          253.083         contract outside
   184          409          253.083         contract inside
   185          411          253.083         contract inside
   186          412          253.083         reflect
   187          414          253.083         contract inside
   188          415          253.083         reflect
   189          422          253.083         shrink
   190          424          253.083         contract outside
   191          426          253.083         contract inside
   192          427          253.083         reflect
   193          429          253.083         contract inside
   194          431          253.083         contract inside
   195          432          253.083         reflect
   196          433          253.083         reflect
   197          434          253.083         reflect
   198          441          253.083         shrink
   199          443          253.083         contract outside
   200          445          253.083         contract outside
   201          446          253.083         reflect
   202          447          253.083         reflect
   203          448          253.083         reflect
   204          449          253.083         reflect
   205          451          253.083         contract inside
   206          452          253.083         reflect
   207          453          253.083         reflect
   208          460          253.083         shrink
   209          462          253.083         contract outside
   210          463          253.083         reflect
   211          464          253.083         reflect
   212          466          253.083         contract inside
   213          468          253.083         contract inside
   214          469          253.083         reflect
   215          470          253.083         reflect
   216          471          253.083         reflect
   217          472          253.083         reflect
   218          479          253.083         shrink
   219          480          253.083         reflect
   220          482          253.083         contract inside
   221          484          253.083         contract inside
   222          485          253.083         reflect
   223          486          253.083         reflect
   224          487          253.083         reflect
   225          488          253.083         reflect
   226          489          253.083         reflect
   227          490          253.083         reflect
   228          497          253.083         shrink
   229          499          253.083         contract inside
   230          500          253.083         reflect
 
Exiting: Maximum number of function evaluations has been exceeded
         - increase MaxFunEvals option.
         Current function value: 253.083141 


Obj. function:	    253.0831

theta1:	   -2.334321   -1.193217   -8.978546   -7.105379    3.597648   -4.182833

theta2	   -1.336703    0.915337    0.790785   -0.341922   -0.752783

gradient-analytical
           -1.9135
            0.9630
           -0.3486
            8.7603
            0.1531

gradient-numerical I
            8.3626
          -30.8691
           -0.1568
            9.9134
            2.1774

gradient-numerical II
           -1.9135
            0.9630
           -0.3486
            8.7603
            0.1531

hessian eigenvalues-numerical I
           -3.8481
            0.6101
           13.2418
           67.4669
          160.6192

hessian eigenvalues-numerical II
          -46.0449
           -2.4436
            6.3484
           49.9723
          114.8654

========================================================================
                       optimization routine : 2
                     set of starting values : 4
========================================================================
theta2 starting values:
   -0.339214    0.033414    1.076229    0.214286    0.096533
 
 Iteration   Func-count     min f(x)         Procedure
     0            1          292.509         
     1            6          292.198         initial simplex
     2            7          292.198         reflect
     3            8          292.198         reflect
     4           10          292.013         expand
     5           12          291.736         expand
     6           14          291.303         expand
     7           15          291.303         reflect
     8           17          290.618         expand
     9           18          290.618         reflect
    10           20          289.239         expand
    11           21          289.239         reflect
    12           23          287.516         expand
    13           24          287.516         reflect
    14           26          285.021         expand
    15           28          281.608         expand
    16           29          281.608         reflect
    17           31          276.291         expand
    18           32          276.291         reflect
    19           34          270.435         expand
    20           35          270.435         reflect
    21           37          267.584         expand
    22           39          267.552         reflect
    23           40          267.552         reflect
    24           41          267.552         reflect
    25           43          267.552         contract outside
    26           45          267.552         contract inside
    27           47          267.552         contract outside
    28           49          267.552         contract inside
    29           51          267.446         reflect
    30           53          267.446         contract inside
    31           54          267.446         reflect
    32           55          267.446         reflect
    33           57          267.053         expand
    34           59          267.053         contract inside
    35           61          266.788         expand
    36           63          266.406         expand
    37           64          266.406         reflect
    38           65          266.406         reflect
    39           67          265.886         expand
    40           69          265.483         expand
    41           70          265.483         reflect
    42           72           263.97         expand
    43           73           263.97         reflect
    44           74           263.97         reflect
    45           75           263.97         reflect
    46           76           263.97         reflect
    47           78          262.414         expand
    48           80           261.53         expand
    49           81           261.53         reflect
    50           83          260.687         expand
    51           85          259.498         expand
    52           87          259.314         reflect
    53           88          259.314         reflect
    54           89          259.314         reflect
    55           91          259.152         reflect
    56           93          259.152         contract inside
    57           94          259.152         reflect
    58           96          257.914         expand
    59           97          257.914         reflect
    60           99          256.691         expand
    61          100          256.691         reflect
    62          102          256.543         reflect
    63          103          256.543         reflect
    64          105          255.305         reflect
    65          106          255.305         reflect
    66          108          254.213         expand
    67          109          254.213         reflect
    68          111          252.578         expand
    69          112          252.578         reflect
    70          114          252.233         expand
    71          115          252.233         reflect
    72          116          252.233         reflect
    73          118          249.414         expand
    74          119          249.414         reflect
    75          121          248.879         reflect
    76          123          248.879         contract outside
    77          124          248.879         reflect
    78          126          248.879         contract outside
    79          128          248.879         contract outside
    80          129          248.879         reflect
    81          130          248.879         reflect
    82          132          248.879         contract inside
    83          134          248.879         contract inside
    84          136          248.879         contract outside
    85          137          248.879         reflect
    86          139          248.879         contract inside
    87          141          248.879         contract inside
    88          142          248.879         reflect
    89          144          248.838         reflect
    90          145          248.838         reflect
    91          147          248.752         reflect
    92          149          248.752         contract inside
    93          151          248.752         contract inside
    94          153          248.733         reflect
    95          154          248.733         reflect
    96          156          248.733         contract inside
    97          158          248.733         contract inside
    98          160          248.706         reflect
    99          162          248.628         expand
   100          164          248.506         expand
   101          165          248.506         reflect
   102          167          248.408         expand
   103          168          248.408         reflect
   104          170          248.182         expand
   105          171          248.182         reflect
   106          173          248.065         expand
   107          174          248.065         reflect
   108          176          247.771         expand
   109          178           247.56         expand
   110          179           247.56         reflect
   111          180           247.56         reflect
   112          181           247.56         reflect
   113          183          247.394         reflect
   114          185          245.807         expand
   115          186          245.807         reflect
   116          187          245.807         reflect
   117          188          245.807         reflect
   118          190           244.25         expand
   119          192          240.594         expand
   120          193          240.594         reflect
   121          194          240.594         reflect
   122          196          239.026         reflect
   123          198          231.689         expand
   124          199          231.689         reflect
   125          200          231.689         reflect
   126          202            231.4         reflect
   127          204            231.4         contract inside
   128          206          230.863         reflect
   129          208          230.863         contract inside
   130          210          228.196         expand
   131          211          228.196         reflect
   132          213          228.196         contract inside
   133          214          228.196         reflect
   134          216          227.707         reflect
   135          218          224.246         expand
   136          219          224.246         reflect
   137          220          224.246         reflect
   138          222          224.246         contract inside
   139          223          224.246         reflect
   140          225          221.854         expand
   141          226          221.854         reflect
   142          227          221.854         reflect
   143          229          221.057         expand
   144          230          221.057         reflect
   145          231          221.057         reflect
   146          233          221.057         contract outside
   147          235          220.537         contract inside
   148          242          220.537         shrink
   149          243          220.537         reflect
   150          244          220.537         reflect
   151          245          220.537         reflect
   152          252          220.537         shrink
   153          253          220.537         reflect
   154          254          220.537         reflect
   155          261          220.537         shrink
   156          262          220.537         reflect
   157          263          220.537         reflect
   158          265          220.537         contract outside
   159          267          220.537         contract inside
   160          269          220.537         contract inside
   161          271          220.537         contract inside
   162          278          220.537         shrink
   163          279          220.537         reflect
   164          281          220.537         contract outside
   165          282          220.537         reflect
   166          284          220.537         contract outside
   167          286          220.537         contract inside
   168          293          220.537         shrink
   169          294          220.537         reflect
   170          295          220.537         reflect
